count,sum,sum^2,max,min
1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,3.08821,2.5984,1.00343,0.540669
8,4.09215,2.34884,0.798254,0.341214
16,6.01002,2.57652,0.709355,0.229699
32,8.47403,2.93236,0.741856,0.141636
64,12.3076,3.21545,0.671311,0.0777192
128,17.1984,3.32727,0.627961,0.0389839
256,24.149,3.59676,0.589761,0.0198094
512,34.4687,3.86575,0.563182,0.0104142
1024,48.2938,4.04715,0.543136,0.00582331
2048,66.7769,4.18514,0.526836,0.00394953
4096,92.1114,4.30597,0.512774,0.00197477
8192,126.923,4.40947,0.500117,0.00100058
16384,174.818,4.47834,0.488384,0.000661047
32768,241.012,4.54703,0.477292,0.000414066
