count,sum,sum^2,max,min
1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,3.05966,2.55115,0.994465,0.535366
8,3.99177,2.24604,0.783032,0.326384
16,5.85392,2.42201,0.682069,0.208297
32,8.01547,2.61618,0.709247,0.121888
64,11.2132,2.73613,0.63352,0.078903
128,16.4093,3.18808,0.595521,0.0423276
256,22.358,3.13348,0.557612,0.0240016
512,31.1485,3.20594,0.534467,0.0139373
1024,44.2608,3.39613,0.515463,0.008031
2048,61.1387,3.3794,0.504244,0.00419873
4096,86.0396,3.50782,0.492996,0.00226395
8192,119.963,3.61395,0.482182,0.00132169
16384,166.276,3.66986,0.471647,0.000866624
32768,231.541,3.74144,0.461739,0.000440201
