1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,3.11702,2.64642,1.01242,0.546087
8,4.18072,2.44027,0.810738,0.355547
16,6.21738,2.76923,0.723669,0.250571
32,8.77943,3.05715,0.732413,0.14977
64,12.6936,3.37456,0.710195,0.0780406
128,18.0047,3.73321,0.703261,0.0390741
256,24.9174,3.94852,0.695816,0.0196904
512,34.8621,4.20745,0.690054,0.0101624
1024,48.657,4.45335,0.684394,0.00636153
2048,66.8795,4.5551,0.67897,0.00427325
4096,91.3187,4.63985,0.673783,0.00242562
8192,124.969,4.70072,0.668805,0.00121589
16384,171.455,4.73035,0.663947,0.000609775
32768,236.064,4.76557,0.659167,0.000309761
