count,sum,sum^2,max,min
1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,3.0314,2.50467,0.985517,0.530181
8,3.88056,2.13344,0.765021,0.311406
16,5.62506,2.22583,0.642465,0.192983
32,7.42846,2.255,0.661943,0.106217
64,9.90736,2.18831,0.574032,0.0568176
128,14.3601,2.50384,0.489897,0.030379
256,18.7554,2.16155,0.41931,0.0175171
512,25.7971,2.1124,0.384648,0.00924854
1024,35.0811,1.93088,0.240101,0.00462427
2048,47.5111,1.84924,0.194749,0.00231213
4096,64.168,1.78002,0.182775,0.00115607
8192,85.7657,1.69317,0.170426,0.000578034
16384,114.233,1.56672,0.155946,0.000289017
32768,151.328,1.43903,0.143045,0.000144508
