count,sum,sum^2,max,min
1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,2.98954,2.43639,0.972137,0.522634
8,3.69687,1.95082,0.732716,0.289653
16,4.72514,1.63066,0.565236,0.175321
32,6.11529,1.57429,0.558618,0.0888582
64,7.4912,1.33572,0.462222,0.0444291
128,9.20474,1.01842,0.256854,0.0222146
256,10.9696,0.703688,0.161944,0.0111073
512,12.9826,0.486972,0.0963289,0.00555364
1024,15.2354,0.352981,0.0662426,0.00277682
2048,17.3706,0.24608,0.063137,0.00138841
4096,19.9764,0.178353,0.0432683,0.000694205
8192,22.3286,0.123404,0.0317277,0.000347103
16384,24.8836,0.0890729,0.0358566,0.000173551
32768,27.6761,0.068308,0.0269687,8.67756e-05
