count,sum,sum^2,max,min
1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,3.00342,2.45896,0.976591,0.525118
8,3.76,2.01311,0.744189,0.296719
16,4.99167,1.79725,0.592795,0.183247
32,6.51504,1.78588,0.597761,0.092854
64,8.28446,1.50234,0.396812,0.046427
128,10.583,1.26236,0.276408,0.0232135
256,13.2649,1.02425,0.207338,0.0116068
512,17.5234,0.960018,0.194982,0.00580338
1024,21.282,0.704417,0.132687,0.00290169
2048,26.4133,0.579269,0.120219,0.00145084
4096,31.8496,0.437897,0.0680814,0.000725422
8192,37.8051,0.328303,0.043383,0.000362711
16384,44.4755,0.249383,0.0301806,0.000181356
32768,51.9885,0.196458,0.026365,9.06778e-05
